, 544
penetrating, 3
penitent, 1
penitents, 2
penny, 3
pent, 1
people, 624
peoples, 14
per, 4
perceivable, 1
perceive, 8
perceived, 5
perceiving, 1
perfect, 2
perfectly, 10
perform, 3
performance, 1
performances, 1
performed, 4
performing, 4
perfumes, 6
perhaps, 52
peril, 1
periodic, 1
perish, 6
perished, 17
perishing, 1
permanent, 1
permission, 8
permitted, 5
perplexed, 1
persecute, 1
person, 70
personal, 1
personally, 2
persons, 56
persuaded, 11
persuading, 1
persuasion, 1
persuasions, 3
pesthouse, 14
pesthouses, 6
pestilence, 8
pestilential, 1
peterborough, 1
petticoat, 2
petty, 4
pew, 3
pews, 2
pg, 1
pglaf, 1
pharaoh, 1
philosophers, 3
philtres, 1
phlegmatic, 1
phrase, 4
physic, 16
physical, 3
physicdespisers, 1
physichaters, 1
physician, 8
physicians, 57
pick, 2
picked, 1
pickpockets, 1
pie, 2
piece, 8
pieces, 3
pied, 1
pierce, 3
pierced, 1
piercing, 1
pig, 1
pigeons, 1
pigs, 1
pilgrims, 1
pill, 2
pills, 3
pinched, 2
pint, 1
pious, 4
pipe, 1
piper, 6
pipes, 2
piping, 2
pistols, 1
pit, 22
pitch, 5
pitched, 2
piteous, 3
pitied, 3
pitiful, 1
pitifully, 1
pits, 8
pity, 7
place, 74
placed, 13
places, 63
plague, 264
plaguefree, 1
plagues, 2
plain, 10
plainly, 6
plaister, 1
planets, 2
plantations, 1
plants, 1
plastered, 1
plasterers, 1
plasters, 1
plays, 3
plea, 1
please, 6
pleased, 25
pleases, 1
plentiful, 1
plentifully, 3
plenty, 5
plight, 1
pluck, 1
plumbers, 1
plums, 1
plunder, 8
plundered, 3
plunderers, 1
plundering, 3
plunge, 1
plunged, 1
plymouth, 1
po, 1
pocket, 3
pocketcompass, 1
pockets, 3
point, 9
pointed, 1
pointing, 6
poison, 8
poisoned, 5
poisonous, 1
poisons, 2
poles, 4
policy, 1
pollardtrees, 1
ponies, 1
pool, 7
poor, 199
poorer, 2
poplar, 4
popular, 1
populous, 5
populousness, 1
pores, 2
poring, 1
porker, 1
port, 6
porters, 1
portion, 1
ports, 6
portsoken, 1
portugal, 5
portuguese, 1
positive, 5
positively, 1
possess, 1
possessed, 8
possession, 3
possibility, 2
possible, 30
possibly, 1
post, 5
posted, 4
posterity, 2
posthouse, 2
posts, 1
posture, 2
postures, 1
pot, 1
potions, 1
poultices, 1
pound, 1
pounds, 5
poverty, 1
powder, 2
power, 17
practicable, 1
practically, 1
practice, 4
practices, 4
practise, 1
practised, 7
practising, 1
praise, 2
praised, 1
pray, 5
prayed, 1
prayer, 2
prayers, 6
praying, 4
preach, 4
preached, 1
preachers, 3
preaching, 3
precaution, 1
preceding, 3
precinct, 3
precincts, 1
precious, 1
precipitant, 2
precipitantly, 1
precipitated, 1
precise, 1
predestinarianism, 1
predestinating, 1
predestination, 1
predetermined, 1
predicted, 1
predictions, 5
predictors, 1
predominant, 1
preferments, 1
prejudice, 3
prejudices, 1
prejudicial, 1
preparation, 5
preparations, 11
prepare, 2
prepared, 8
prepares, 1
prepossessed, 1
presbyterians, 2
prescribed, 1
prescribes, 1
prescribing, 1
prescription, 1
prescriptions, 1
present, 9
presented, 4
presently, 13
preservation, 8
preservative, 3
preservatives, 5
preserve, 8
preserved, 19
preserver, 1
preserving, 5
press, 2
pressed, 3
pressing, 2
pressure, 1
presuming, 1
presumption, 2
presumptuous, 1
presumptuously, 1
pretences, 2
pretend, 13
pretended, 10
pretenders, 2
pretending, 3
pretensions, 1
pretty, 7
prevail, 3
prevailed, 6
prevent, 27
prevented, 1
preventing, 2
prevention, 1
preventive, 3
previous, 2
prey, 2
preyed, 1
preying, 2
price, 7
pride, 1
principal, 4
principally, 3
principle, 4
principles, 1
print, 2
printed, 6
printing, 2
prison, 4
prisoners, 1
prisons, 4
private, 18
privately, 2
privileges, 1
privity, 1
probabilities, 1
probable, 4
probably, 3
probity, 1
problem, 1
proceed, 1
proceeded, 6
process, 1
processing, 1
procure, 1
procured, 2
procurers, 1
prodigious, 14
prodigiously, 5
produce, 2
produced, 5
product, 1
production, 1
profane, 4
professed, 1
professions, 2
professor, 1
profit, 1
profitable, 1
profits, 1
profound, 1
prognostications, 1
progression, 1
progressively, 1
prohibit, 1
prohibited, 3
prohibition, 1
project, 88
prolongings, 1
prominently, 2
promiscuous, 1
promiscuously, 5
promise, 1
promised, 5
promising, 1
promoting, 2
promotion, 1
prompt, 2
prompting, 1
pronounced, 1
proof, 2
proofread, 1
proofs, 1
propagate, 2
propagated, 4
propagating, 1
propagation, 1
propensity, 1
proper, 16
property, 2
prophecies, 1
prophesied, 1
prophesying, 1
prophet, 1
prophetic, 1
prophets, 1
proportion, 10
proportionable, 1
propose, 3
proposed, 2
proprietary, 1
prospect, 2
protect, 2
protected, 8
protection, 2
protested, 1
prove, 4
proved, 3
proves, 2
provide, 8
provided, 11
providence, 14
providences, 2
providing, 4
proving, 1
provision, 9
provisions, 45
proviso, 1
provoked, 2
prudence, 7
prudent, 1
prudently, 1
psalm, 1
psalms, 1
public, 51
publichouse, 2
publichouses, 1
publick, 1
publicly, 8
publish, 1
published, 12
publishing, 1
pull, 1
pulled, 3
pulpit, 2
pulpits, 1
punish, 3
punished, 12
punishment, 1
punitive, 1
puppetshows, 1
purchase, 1
pure, 1
purge, 3
purged, 1
purloined, 1
purple, 1
purpose, 21
purse, 7
pursuance, 1
pursue, 1
pursuit, 1
push, 1
pushed, 2
put, 66
putrefied, 1
puts, 1
putting, 11
puttingoff, 1
puzzled, 1
pyramid, 1
quack, 2
quackconjurers, 1
quackery, 1
quacking, 3
quacks, 5
quaker, 1
quakers, 2
qualified, 1
quantities, 4
quantity, 6
quarantine, 4
quarrel, 2
quarrelled, 1
quarter, 7
quartered, 1
quarters, 2
queenhith, 1
question, 13
questioned, 2
questions, 1
quick, 4
quicken, 1
quickening, 1
quickly, 3
quiet, 3
quietly, 1
quit, 5
quite, 40
quitted, 1
rabble, 2
rabbles, 1
rachel, 3
radcliff, 1
rafters, 1
rage, 8
raged, 11
rages, 1
raging, 10
ragings, 1
rags, 3
rail, 1
raillery, 1
rain, 1
rains, 1
rainy, 1
raise, 3
raised, 10
raising, 3
raker, 1
rakers, 2
ran, 31
rang, 1
ranged, 1
rank, 1
rash, 3
rashly, 1
rashness, 4
ratcliff, 14
ratdiff, 1
rate, 4
rather, 43
rational, 2
rationally, 1
rats, 1
ratsbane, 1
ravaged, 1
raving, 6
ravings, 1
reach, 14
reached, 9
reaching, 3
read, 5
readable, 2
reader, 7
readiness, 2
reading, 2
reads, 2
ready, 5
real, 3
reality, 2
really, 65
reason, 41
reasonable, 9
reasonably, 2
reasons, 8
rebuilding, 1
receipt, 2
receive, 16
received, 26
receiver, 1
receiving, 2
recently, 1
reception, 1
recess, 1
reckon, 3
reckoned, 4
recollect, 1
recommend, 4
recommended, 3
recommending, 2
reconcile, 3
reconciled, 3
record, 8
recorded, 2
recording, 2
recourse, 2
recover, 5
recovered, 19
recovering, 4
recovery, 1
red, 6
redeemed, 1
redistribute, 1
redistributing, 2
redistribution, 2
redriff, 6
reduced, 4
reedify, 1
reestablished, 1
refer, 1
references, 2
referred, 1
reflect, 3
reflected, 1
reflecting, 2
reflection, 4
reflections, 3
reformation, 2
refrain, 4
refreshed, 2
refreshing, 1
refreshment, 1
refuge, 2
refund, 10
refuse, 5
refused, 5
refusing, 3
regard, 4
regarded, 1
regarding, 1
regardless, 2
registered, 2
regress, 1
regret, 2
regular, 1
regulating, 2
regulation, 3
regulations, 6
reign, 1
reigned, 1
rejoice, 1
rejoiced, 1
relapse, 3
relate, 3
related, 5
relates, 2
relating, 4
relation, 3
relations, 14
relax, 1
release, 1
released, 1
releasing, 1
relief, 26
relieve, 11
relieved, 7
relieving, 1
religion, 5
religious, 15
relish, 1
reload, 1
reluctance, 1
reluctancy, 1
remain, 8
remained, 5
remaining, 2
remains, 8
remark, 3
remarkable, 9
remarkably, 1
remarked, 1
remedies, 6
remedy, 8
remember, 27
remembered, 2
remembering, 1
remembrance, 4
remembrancer, 1
remiss, 2
remote, 3
remoter, 1
remotest, 2
removal, 1
remove, 26
removed, 31
removing, 9
renamed, 1
render, 3
rendered, 3
renewed, 1
rent, 1
repair, 1
repairing, 1
repassing, 1
repay, 2
repeat, 3
repeated, 4
repeating, 1
repel, 1
repent, 1
repentance, 7
repented, 4
repetition, 1
repine, 1
replace, 1
replacement, 5
replied, 1
reply, 1
report, 13
reported, 12
reports, 3
reposed, 1
represent, 3
representation, 1
representations, 2
represented, 4
reproach, 3
reproached, 2
reproaches, 1
reproaching, 1
reproof, 1
reprove, 2
reproved, 2
repulse, 1
repulsed, 1
reputation, 2
request, 3
require, 3
required, 6
requirements, 4
requisite, 3
research, 2
resent, 1
resentment, 7
reserve, 2
reserved, 2
reserving, 1
resided, 3
resigned, 1
resist, 5
resisted, 2
resisting, 1
resolution, 6
resolutions, 5
resolve, 12
resolved, 26
resolving, 1
resort, 2
respect, 5
respective, 4
respectively, 1
rest, 35
rested, 1
resting, 1
restoration, 2
restore, 3
restored, 5
restoring, 1
restrain, 2
restrained, 5
restraining, 1
restrains, 1
restraint, 2
restrictions, 2
retail, 1
retained, 4
retentive, 1
retire, 3
retired, 14
retirement, 1
retiring, 1
retreat, 8
retreated, 1
retreats, 6
retrenched, 1
return, 22
returned, 19
returning, 1
returns, 3
reuse, 2
revelling, 1
revenue, 1
reverence, 1
reviling, 1
revived, 2
revolutions, 1
reward, 1
rewards, 1
ribaldry, 1
ribandweavers, 2
rich, 10
richard, 13
richer, 2
richest, 1
rid, 2
ride, 1
ridiculing, 1
ridiculous, 3
rifle, 1
right, 23
rightly, 1
rigid, 1
rigorous, 1
ring, 2
ringers, 1
ringing, 1
rings, 1
ripen, 1
rise, 4
risen, 2
rises, 1
risk, 3
river, 44
rivermen, 1
riverside, 1
riversides, 1
road, 25
roads, 5
roadside, 2
roaring, 2
roarings, 1
rob, 2
robbed, 3
robberies, 3
robbery, 1
robert, 4
robins, 1
rod, 1
rode, 1
rogues, 2
rolled, 1
romans, 1
roof, 3
room, 23
rooms, 8
roots, 1
ropedancers, 1
ropemakers, 1
ropes, 1
ropewalk, 1
rose, 2
rosin, 1
rotherhithe, 4
rotted, 1
rotten, 2
rotterdam, 1
roughly, 1
round, 14
rounds, 2
roupy, 1
roused, 1
roving, 1
row, 7
rows, 5
royal, 5
royalties, 2
royalty, 3
rozen, 1
rozin, 1
rubbish, 1
rude, 2
rudeness, 1
rue, 1
ruff, 1
rug, 2
rugs, 2
ruin, 5
ruined, 2
ruining, 1
ruins, 1
rule, 4
rules, 4
rumford, 5
rumour, 6
rumoured, 1
rumours, 2
run, 27
running, 21
runs, 2
rushing, 1
rust, 1
s, 2
sabbathday, 2
sabbathdays, 1
sack, 3
sacks, 2
sacrificed, 1
sad, 6
saddler, 1
sadly, 3
sadness, 2
safe, 13
safely, 5
safest, 1
safety, 22
said, 223
sail, 2
sailmaker, 9
sailmakers, 2
sailmaking, 1
sailor, 2
sails, 2
saith, 1
sake, 4
sakes, 1
sale, 2
sallies, 1
salt, 3
salts, 1
salutations, 1
samaria, 1
same, 97
sanctuaries, 1
sanctuary, 1
sandwich, 1
sang, 1
sank, 4
sat, 13
satisfaction, 10
satisfactory, 1
satisfied, 8
satisfy, 4
saturday, 1
saucily, 1
save, 7
saving, 2
saviour, 1
saw, 56
say, 217
sayest, 1
saying, 6
says, 75
scandal, 3
scandalous, 1
scanderoon, 1
scarce, 16
scarcely, 1
scarcity, 2
scarified, 1
scattered, 1
scene, 3
scenes, 1
scent, 3
scents, 1
scheme, 2
schemes, 3
scoffer, 1
scoffing, 1
scoffs, 1
scorbutic, 1
score, 4
scotland, 1
scourge, 1
scourged, 2
scout, 1
scream, 1
screamed, 2
screaming, 2
screeches, 2
screeching, 1
screechings, 1
screwed, 1
scripture, 2
scriptures, 1
scruple, 5
scrutinised, 1
scuffles, 1
scum, 3
sea, 4
seabiscuit, 1
seafaring, 2
seaman, 2
seamen, 11
seaports, 1
search, 8
searched, 4
searcher, 2
searchers, 9
searching, 2
season, 4
seasonable, 1
seasoned, 1
seasoning, 1
seawall, 1
secluded, 1
second, 11
secondly, 1
secret, 8
secretaries, 1
secretary, 1
secretly, 2
section, 7
sections, 1
sects, 1
secure, 10
secured, 1
securing, 1
security, 8
see, 92
seeds, 5
seeing, 18
seek, 4
seeking, 2
seem, 10
seemed, 26
seeming, 2
seemingly, 3
seems, 36
seen, 53
sees, 1
seize, 2
seized, 12
seldom, 11
self, 1
selfdestruction, 1
selfpreservation, 3
selling, 1
sempstresses, 1
send, 20
sendeth, 1
sending, 3
sense, 7
senses, 4
sensible, 9
sent, 55
sentence, 2
sentinel, 4
separate, 5
separated, 3
separately, 2
separating, 1
sept, 3
sept5, 1
september, 35
sepulcher, 3
sepulchers, 4
sequestered, 3
sequestration, 2
sergeants, 1
serious, 15
seriously, 6
sermon, 3
sermons, 2
serpents, 1
servant, 13
servantmaid, 1
servants, 27
serve, 7
served, 3
serves, 1
service, 8
serviceable, 2
services, 2
serving, 2
servingmen, 1
session, 1
set, 67
sets, 1
setting, 6
settle, 2
settled, 3
settlement, 1
settlements, 1
settling, 1
seven, 12
seventeen, 7
seventh, 1
several, 124
severe, 7
severely, 6
severer, 1
severities, 3
severity, 6
sex, 2
sexton, 2
sextons, 3
shadwell, 3
shall, 114
shalt, 3
sham, 1
shambles, 2
shape, 3
shapes, 2
share, 5
shared, 1
sharing, 1
sharp, 2
shattering, 1
she, 72
shed, 2
sheds, 2
sheep, 2
sheets, 1
shelter, 5
sheltered, 1
sheriffs, 9
sheriffsmen, 1
shield, 1
shift, 8
shifted, 2
shilling, 1
shillings, 4
shining, 1
ship, 4
shipcarpenters, 1
shipcarvers, 1
shipchandlers, 1
shipping, 2
ships, 54
shipside, 1
shipton, 1
shirt, 3
shock, 1
shocked, 2
shoemakers, 1
shoes, 1
shook, 2
shoot, 2
shooting, 2
shop, 9
shopboards, 1
shopkeeper, 2
shopkeepers, 1
shops, 10
shopwindow, 1
shore, 17
shoreditch, 19
short, 17
shot, 2
should, 134
shoulder, 2
shouldered, 1
shoulders, 2
show, 12
showed, 13
showing, 5
shrieked, 1
shrieks, 4
shun, 1
shunned, 1
shunning, 1
shut, 103
shutters, 1
shutting, 34
shy, 7
shyness, 1
sick, 129
sicken, 2
sickened, 4
sickening, 1
sickness, 24
side, 60
sides, 14
siege, 1
sigh, 2
sighed, 1
sight, 12
sights, 1
sign, 7
signal, 4
signified, 1
signs, 7
silence, 2
silenced, 1
silent, 2
silently, 1
silks, 1
silver, 3
simplicity, 1
simply, 1
sin, 3
since, 30
sincere, 2
sing, 2
singed, 1
singing, 3
single, 8
singular, 1
sins, 4
sir, 13
sister, 3
sit, 7
site, 4
sitting, 1
situated, 1
situation, 1
six, 20
sixandforty, 1
sixteen, 6
sixty, 3
sixtyeight, 1
sixtyfive, 1
skilful, 1
skill, 5
skulls, 1
slacken, 1
slander, 1
slaughterhouses, 1
sleep, 7
sleepiness, 1
slept, 3
slight, 2
slip, 1
slippedshoes, 1
slow, 2
slower, 1
slowly, 2
sluices, 1
smacks, 1
small, 17
smaller, 2
smallpox, 1
smart, 4
smell, 8
smellingbottle, 1
smells, 5
smelt, 1
smile, 1
smithfield, 2
smiths, 2
smoke, 3
smoked, 1
smokes, 1
smoking, 1
smooth, 1
smoothly, 1
smote, 1
smothered, 1
smothering, 2
smyrna, 1
snakes, 1
snare, 2
snatching, 1
snuffed, 1
so, 618
sober, 4
societies, 1
soever, 2
soixantine, 1
sold, 9
soldier, 11
soldiers, 10
solemn, 1
solicit, 2
solicitation, 1
solomon, 3
solve, 1
solving, 1
some, 321
somebody, 10
somehow, 1
something, 14
sometimes, 53
soon, 41
sooner, 5
sorely, 1
sorer, 1
sores, 5
sorrow, 6
sorrows, 1
sort, 20
sorts, 17
sot, 1
soul, 9
souls, 2
sound, 54
sounded, 1
soundly, 2
south, 7
southwark, 22
sovereign, 4
sovereignty, 1
space, 7
spain, 6
spake, 1
spaniards, 2
spare, 9
spared, 9
sparkling, 1
speak, 29
speaking, 10
special, 7
species, 1
specific, 1
specified, 2
specimen, 1
specious, 1
spectacles, 1
speech, 1
speeches, 1
spend, 1
spent, 8
spirit, 6
spirits, 12
spitalfields, 2
spite, 1
spittlefields, 3
spoil, 2
spoiled, 2
spoke, 3
spoken, 7
spot, 2
spots, 4
spotted, 3
spottedfever, 7
spread, 35
spreading, 13
spreads, 1
spring, 2
sprinkled, 1
sprinkling, 1
square, 1
st, 108
staff, 2
stagnated, 1
stagnation, 1
stairs, 11
stall, 8
stalls, 1
stamford, 2
stand, 10
standing, 3
stands, 6
stanes, 1
stanza, 1
star, 2
stare, 1
staring, 1
stark, 4
stars, 2
start, 4
started, 2
starve, 6
starved, 10
starving, 3
state, 16
stated, 2
statements, 1
states, 21
station, 1
stations, 1
status, 4
statute, 1
staves, 1
stay, 32
stayed, 19
staying, 8
stead, 2
steady, 2
steal, 4
stealth, 1
steams, 1
stench, 5
step, 2
stephen, 1
stepney, 30
steps, 3
sticks, 1
still, 54
stillborn, 4
stillyard, 2
sting, 1
stinking, 1
stint, 1
stir, 7
stirred, 3
stirring, 7
stirs, 1
stock, 5
stockings, 1
stocks, 3
stockstill, 1
stolen, 1
stomach, 2
stomachs, 1
stone, 6
stood, 19
stools, 2
stop, 37
stopped, 22
stops, 1
store, 4
stored, 1
storehouses, 1
stores, 4
storey, 2
stories, 12
storing, 1
storm, 1
story, 21
stoutest, 4
straight, 1
strait, 1
straitened, 1
straits, 1
strange, 14
strangely, 3
stranger, 4
strangers, 3
stratagem, 5
stratagems, 1
straw, 7
stray, 1
stream, 1
streams, 1
street, 82
streetend, 1
streets, 94
strength, 4
strengthening, 1
stretched, 2
stricken, 1
strict, 6
strictly, 3
strictness, 1
strife, 1
strike, 2
striking, 1
strip, 2
stripped, 1
stroke, 7
strokes, 1
strong, 13
stronger, 2
strongest, 1
strongly, 1
struck, 6
struggle, 3
struggled, 1
studied, 1
stuff, 7
stupid, 4
stupidity, 2
subject, 6
subjected, 1
subjects, 2
submit, 2
subscribe, 1
subsist, 3
subsisted, 4
subsistence, 7
substance, 3
substantial, 2
substituting, 1
subtility, 1
suburbs, 19
succeeding, 1
success, 2
successful, 1
successfully, 1
succession, 1
successively, 1
such, 353
suchandsuch, 4
suchlike, 6
suck, 4
sucking, 1
suckling, 1
sudden, 12
suddenly, 5
suddenness, 1
suffer, 12
sufferance, 1
suffered, 20
suffering, 5
suffice, 1
sufficient, 19
sufficiently, 7
suffocate, 1
suffolk, 1
suggested, 3
suggesting, 1
suggestion, 3
suit, 1
suitable, 1
sulphur, 3
sulphurous, 1
sultry, 1
sum, 4
summary, 1
summer, 3
summon, 1
summoned, 2
summons, 1
sums, 8
sun, 2
sunderland, 1
sung, 2
sunk, 2
sunrising, 1
sunset, 1
sunsetting, 1
superior, 1
supernatural, 3
supernaturals, 1
supine, 1
supper, 1
supplied, 8
supplies, 4
supply, 10
supplying, 2
support, 15
supported, 5
suppose, 24
supposed, 17
supposing, 2
suppress, 2
suppressed, 1
suppurate, 1
sure, 28
surely, 2
surface, 3
surfeit, 1
surfeits, 1
surgeon, 1
surgeons, 13
surprise, 12
surprised, 11
surprises, 1
surprising, 10
surrey, 3
surround, 1
surrounded, 1
survive, 2
surviving, 1
suspected, 3
suspicion, 2
sustenance, 2
swam, 2
swamp, 1
swan, 3
swarm, 2
swearing, 1
sweat, 7
sweated, 2
sweaty, 1
sweeping, 2
sweet, 1
sweetened, 1
sweetening, 1
swell, 1
swelling, 3
swellings, 17
swept, 9
swift, 3
swiftly, 1
swim, 1
swimmer, 1
swine, 2
swoon, 2
swooning, 2
sword, 4
swords, 1
sworn, 2
symptom, 2
synonymous, 1
tabernacle, 1
table, 1
tables, 1
taint, 1
tainted, 1
take, 87
taken, 66
takes, 7
taking, 15
tale, 5
tales, 1
talk, 18
talked, 14
talking, 7
tame, 1
tampering, 1
tar, 1
taunted, 1
tavern, 7
taverns, 2
tax, 7
taxes, 1
teacher, 1
tearing, 1
tears, 10
tediousness, 1
teeth, 2
tell, 16
telling, 9
tells, 1
temper, 9
temperate, 1
tempers, 2
temple, 1
temptation, 1
ten, 19
tenant, 1
tenants, 1
tend, 5
tended, 6
tender, 3
tendered, 1
tending, 3
tent, 24
tentcloth, 1
tenth, 2
tents, 8
terms, 23
terrible, 38
terribly, 4
terrified, 15
terrify, 1
terrifying, 4
terror, 18
terrors, 6
text, 2
texts, 1
thames, 4
than, 165
thankful, 9
thankfulness, 9
thanks, 5
that, 1916
thatch, 1
thatched, 1
thats, 2
thawed, 1
the, 6298
thee, 6
theft, 1
their, 710
theirs, 1
them, 834
themselves, 169
then, 149
thence, 5
there, 415
thereabout, 2
thereabouts, 8
thereby, 2
therefore, 25
thereof, 4
theres, 7
these, 174
they, 1310
thick, 1
thicken, 1
thickening, 1
thickens, 1
thicker, 1
thief, 3
thieveries, 1
thieves, 8
thighs, 1
thin, 1
thine, 2
thing, 48
things, 118
think, 74
thinking, 2
thinks, 1
thinly, 1
thinner, 1
third, 9
thirteen, 3
thirty, 3
thirtytwo, 1
this, 615
thither, 9
thomas, 14
thoroughfares, 1
thoroughly, 3
those, 278
thou, 11
though, 153
thought, 49
thoughtless, 4
thoughts, 15
thousand, 47
thousands, 15
threaten, 4
threatened, 4
threatening, 3
three, 82
threw, 11
thrice, 1
throgmorton, 1
throng, 3
thronged, 5
thronging, 1
throngs, 4
through, 40
throughout, 1
throw, 6
throwing, 2
thrown, 15
throws, 1
thrust, 2
thundered, 1
thursday, 1
thus, 68
thy, 8
thyself, 2
tide, 4
tidings, 2
tied, 7
till, 96
tilts, 1
timber, 1
time, 268
timely, 2
times, 37
timorous, 1
tippling, 1
tipplinghouses, 2
tired, 2
tis, 21
title, 2
titles, 1
to, 2988
tobacco, 1
together, 47
token, 2
tokenhouse, 1
tokens, 15
tokuya, 2
told, 64
tolerably, 2
toll, 2
tom, 5
tomorrow, 2
tone, 2
tongs, 3
tongue, 1
tongues, 1
too, 78
took, 47
tools, 4
top, 4
topgallant, 1
tops, 1
torment, 7
tormented, 1
tormenting, 1
torture, 1
tortured, 1
total, 6
tottenham, 1
touch, 11
touched, 14
touching, 1
toward, 2
towards, 28
tower, 6
town, 116
towns, 32
townsmen, 4
trade, 51
traded, 2
trademark, 11
trademarkcopyright, 1
traders, 2
trades, 8
tradesman, 1
tradesmen, 3
trading, 5
tragical, 2
train, 3
trained, 2
transcribe, 1
transcription, 1
transported, 1
transporting, 1
travail, 1
travel, 9
travelled, 7
travellers, 13
travelling, 5
treachery, 1
treacle, 2
treat, 2
treated, 1
treatment, 3
trees, 5
trembled, 1
trembling, 1
trench, 1
trial, 1
triangle, 1
tried, 3
trifle, 3
trifling, 2
trinity, 1
trooper, 1
troops, 1
trouble, 4
troubled, 1
troubler, 1
troublesome, 1
troughs, 1
true, 71
truly, 5
trumpery, 1
trusses, 1
trust, 10
trusted, 2
trusting, 1
truth, 14
trying, 1
tumours, 6
tumult, 1
tumults, 2
turkey, 4
turkish, 1
turks, 2
turn, 8
turned, 22
turnedout, 1
turning, 5
turnpikes, 1
turns, 4
turpentine, 1
twas, 1
twelve, 9
twelvepence, 1
twenty, 16
twentyeight, 4
twentyfive, 1
twentyfour, 1
twice, 6
twill, 1
two, 155
twoandthirty, 1
twothirds, 1
types, 1
ugly, 1
unable, 3
unaccountable, 2
unalarmed, 1
unalterably, 1
unavoidable, 2
unburied, 6
uncertain, 1
uncertainty, 2
uncharitable, 1
unchristian, 2
uncommon, 2
unconcerned, 6
uncouth, 1
uncovered, 1
undaunted, 1
undeceive, 1
under, 41
undersexton, 2
understand, 3
understanding, 3
understandings, 1
understood, 2
undertake, 9
undetermined, 1
undisputed, 1
undisturbed, 1
undone, 1
undressed, 1
undue, 1
uneasiness, 1
uneasy, 6
unemployed, 1
unencumbered, 1
unenforceability, 1
uneven, 1
unexpected, 2
unfit, 1
ungrateful, 1
unhappily, 3
unhappy, 8
uniform, 1
uniformity, 1
uninfected, 1
uninhabited, 1
uninterrupted, 1
union, 1
united, 16
universal, 8
universally, 3
unjust, 4
unkind, 1
unknown, 1
unlade, 4
unless, 12
unlikely, 4
unlink, 1
unloaden, 1
unloading, 1
unmannerly, 1
unmerciful, 1
unnecessary, 2
unperceived, 1
unperforming, 1
unpleasant, 1
unpleasing, 1
unprepared, 1
unprofitable, 1
unprotected, 1
unprovided, 3
unquenched, 1
unquestioned, 1
unsatisfied, 1
unscrew, 1
unseen, 1
unskilful, 1
unsolicited, 1
unsound, 2
unspeakable, 1
unthankfulness, 1
until, 6
unto, 10
untouched, 2
untrue, 1
untruly, 1
unusual, 5
unwarily, 1
unwary, 3
unwholesome, 4
unwilling, 4
unwillingness, 1
up, 305
upbraid, 1
upbraided, 1
updated, 2
upheld, 1
upholsterers, 1
upon, 336
upper, 4
upstairs, 3
upton, 1
upwards, 1
us, 137
usage, 3
use, 41
used, 47
useful, 5
useless, 2
user, 3
uses, 5
using, 7
usual, 25
usually, 13
ut, 1
utf8, 1
utmost, 23
uttered, 1
utterly, 7
uttermost, 1
uxbridge, 1
v, 1
vacant, 1
vacation, 1
vagrant, 2
vain, 4
valuable, 1
value, 5
valued, 2
valuing, 1
vanilla, 2
vanished, 1
vapour, 1
vapours, 2
variable, 1
variations, 1
variety, 8
various, 1
vast, 15
vastly, 1
vault, 1
velvet, 1
venetians, 1
vengeance, 7
venice, 2
venomous, 1
vent, 3
vented, 1
venture, 17
ventured, 14
venturing, 2
venturous, 2
verified, 2
verily, 5
vermin, 1
verse, 2
verses, 1
version, 1
very, 327
vessel, 1
vessels, 5
vestries, 1
vexation, 1
vices, 2
victuallinghouse, 1
victuals, 6
view, 10
viewed, 1
viewing, 1
vigilance, 4
vigilantly, 1
vigorous, 1
vile, 4
village, 6
villages, 5
villainies, 1
vinegar, 7
violates, 1
violence, 32
violences, 2
violent, 23
violently, 8
virtue, 1
virus, 1
visible, 3
visibly, 3
visit, 12
visitation, 31
visitations, 1
visited, 35
visiting, 1
visitor, 1
visitors, 5
vital, 1
vitals, 3
viz, 34
voice, 6
voices, 2
void, 2
volume, 1
volunteer, 1
volunteers, 6
vomited, 1
vomitings, 3
vouch, 3
voyage, 1
vulgarly, 1
vulnerable, 1
w, 1
wages, 2
waggons, 3
waist, 1
waistcoat, 1
waited, 3
waiting, 2
walk, 5
walked, 14
walketh, 1
walking, 6
walks, 2
wall, 7
walled, 1
walls, 12
waltham, 9
walthamstow, 4
wand, 1
wander, 3
wandered, 4
wanderers, 3
wandering, 4
want, 42
wanted, 18
wanting, 4
wants, 5
wapping, 17
war, 7
ward, 5
warders, 2
warding, 1
wards, 4
ware, 4
warehouse, 4
warehouses, 4
wares, 1
warm, 11
warmed, 1
warmly, 1
warmth, 1
warn, 1
warned, 1
warning, 7
warnings, 2
warrantable, 1
warranties, 3
warranty, 2
wars, 2
was, 1422
washed, 1
washing, 1
waste, 2
wasteth, 1
watch, 4
watched, 1
watchful, 1
watching, 5
watchman, 29
watchmen, 30
water, 20
watercarriage, 1
waterman, 3
watermen, 5
waterside, 1
watford, 1
wavering, 1
waving, 1
way, 100
ways, 13
wayward, 1
we, 266
weak, 4
weakened, 1
wealth, 1
wealthiest, 1
wealthy, 2
wear, 1
wearing, 2
wearingclothes, 1
weary, 2
weather, 25
weavers, 1
web, 5
wednesday, 1
week, 90
weekly, 28
weeks, 45
weep, 2
weight, 10
weir, 1
welcome, 1
welfare, 1
well, 152
welldisposed, 1
wellminded, 1
wells, 1
wench, 1
went, 157
wept, 1
were, 1008
west, 17
western, 1
westminster, 11
westward, 1
wet, 6
wetted, 1
